আগুন,বক্তৃতায় তার কণ্ঠে আগুন ছিল।,1
আগুন,প্রেমের আগুন তাকে পুড়িয়ে দিয়েছে।,1
আগুন,সে আগুনের মতো রেগে গিয়েছিল।,1
আগুন,তার আগুনে ভরা কথাগুলো সবাইকে নাড়িয়ে দিল।,1
আলো,ভেবে দেখুন সামনা সামনি আর বামে মোড় নেয়ার সবুজ আলো জলছে একই সাথে,0
আলো,সর্বত্র পুলিশের গাড়ির আলো,0
আলো,তাই আপনারা যারা এক ঘণ্টার জন্যে আলো বন্ধ করেছেন আমরা সেটা করি প্রতিদিন,0
আলো,পড়ন্ত বিকেল আলো প্রায় কমে এসেছে,0
আলো,যখন স্বর্গীয় আলো জ্বলে উঠে আমরা উত্তেজনায় লাফিয়ে উঠি,0
আলো,এই বিষয়টি আলোচনার আলোতে এসেছে।,1
আলো,তার কাজটি এখন আলোয় এসেছে।,1
আলো,মিডিয়াতে সে আলোতে এসেছে বারবার।,1
আলো,এই ইস্যুটা এখন আলোচিত হচ্ছে চারদিকে।,1
আলো,অভিনেতার ব্যক্তিগত জীবন আলোতে এসেছে।,1
আশা,আমি আগামীকালের ভালো ফলাফলের আশা করছি।,0
আশা,আমরা শান্তি ফিরে আসার আশা করি।,0
আশা,সে নতুন চাকরির জন্য অনেক আশা পোষণ করে।,0
আশা,মানুষ সব সময় একটা ভালো ভবিষ্যতের আশা করে।,0
আশা,এই সমস্যার সমাধানে আমাদের আশা আছে।,0
আশা,কাল তুমি আমাদের বাসায় আশা করো।,1
আশা,ও প্রতি সপ্তাহে একবার এখানে আশা করে।,1
আশা,বিকেলে দাদু আমাদের বাড়িতে আশা করেছিলেন।,1
আশা,আমরা চাচার আশা করার অপেক্ষায় আছি।,1
আশা,তুমি তো বলেছিলে আজ আশা করবে।,1
কপাল,তার কপালে ঘাম জমেছে।,0
কপাল,শিশুটির কপালে একটি টিপ আঁকা।,0
কপাল,সে রেগে গিয়ে কপালে হাত দিল।,0
কপাল,মেয়েটির কপালে আঘাত লেগেছে।,0
কপাল,কপালের মাঝখানে সে সিঁদুর দেয়।,0
কপাল,তোর কপাল ভাল আমার ক্লাস আছে,1
কপাল,কপাল বাঁচাতে সম্ভবত আপনাকে আমার এখনি মেরে ফেলা উচিৎ,1
কপাল,যা তার খারাপ কপাল,1
কপাল,খারাপ কপাল হচ্ছে তার বাবামা আনুগত্য ছিল না,1
কপাল,কপাল খারাপ আমি তোকে চিনি,1
কপি,আমাকে ফাইলের একটি কপি দাও।,0
কপি,এই বইয়ের কপি খুবই দুর্লভ।,0
কপি,প্রতিটি শিক্ষার্থীকে প্রশ্নের একটি কপি দেওয়া হয়েছে।,0
কপি,সে চুক্তির কপি নিয়ে অফিসে গেল।,0
কপি,তুমি কি নোটসের একটা কপি বানাবে?,0
কপি,আজ বাজারে টাটকা কপি পাওয়া যাচ্ছে।,1
কপি,সে কপি ভাজি খুব ভালো রান্না করে।,1
কপি,আমরা দুপুরে কপি দিয়ে তরকারি খাব।,1
কপি,এই কপি দেখতে খুব সুন্দর।,1
কপি,কপি ধুয়ে রান্না করার জন্য তৈরি করো।,1
কর,খুব চেষ্টা কর বাইরের পৃথিবী সম্পর্কে চিন্তা না করতে,0
কর,কি ভাবে মোকাবেলা কর,0
কর,তুমি কোথায় কাজ কর,0
কর,তুমি আমাকে বিশ্বাস কর,0
কর,এটা কর তোমাদের লোকেরা বাঁচবে,0
কর,জিএসটি রূপে আজ দেশে একটি অত্যাধুনিক কর ব্যবস্থা চালু হচ্ছে।,1
কর,আর্থিক লেনদেন এবং কর ব্যবস্থায় আমরা এক অভিন্ন পরিচিতি ব্যবস্থা চালু করেছি যার ফলাফল ইতিমধ্যেই সকলে লক্ষ্য করেছেন।,1
কর,দীর্ঘ ৭০ বছরে পরোক্ষ কর ব্যবস্থায় রাজস্ব সংগ্রহের পরিমাণ দাঁড়িয়েছিল ৭০ লক্ষ।,1
কর,কর ফাঁকির বিরুদ্ধে আরেকটি গুরুত্বপূর্ণ পদক্ষেপ গ্রহণ করল ভারত।,1
কর,কারণ, হরিয়ানার কর আলাদা, উত্তর প্রদেশের কর আলাদা আর দিল্লির কর আলাদা।,1
কর,তাঁর কর স্পর্শে শিশুটি শান্ত হয়ে গেল।,2
কর,ভগবানের কর থেকে কেউ রক্ষা পায় না।,2
কর,তিনি দুটি কর জোড় করে প্রণাম করলেন।,2
কর,কর প্রসারিত করে তিনি আশীর্বাদ দিলেন।,2
কর,তার কোমল কর কাঁপছিল শীতের রাতে।,2
কর্ণ,তার কর্ণে আজ খুব ব্যথা করছে।,0
কর্ণ,ডাক্তারের কাছে কর্ণ সংক্রান্ত সমস্যা নিয়ে গিয়েছিল।,0
কর্ণ,শব্দটা তার কর্ণে ধ্বনিত হলো।,0
কর্ণ,সে কর্ণে হেডফোন পরেছিল।,0
কর্ণ,তীব্র শব্দে কর্ণ ক্ষতিগ্রস্ত হতে পারে।,0
কর্ণ,এই চতুর্ভুজের কর্ণ দুটি পরস্পর ছেদ করে।,1
কর্ণ,বর্গের কর্ণের দৈর্ঘ্য নির্ণয় করো।,1
কর্ণ,ত্রিভুজের কর্ণ বড় দিকটি বোঝায়।,1
কর্ণ,জ্যামিতির অঙ্কে কর্ণ একটি গুরুত্বপূর্ণ উপাদান।,1
কর্ণ,ছক আঁকতে গেলে কর্ণ নির্ধারণ করতে হয়।,1
কলা,সে প্রতিদিন একটি করে কলা খায়।,0
কলা,কলা পাকা হলে খুব মিষ্টি হয়।,0
কলা,বাজার থেকে এক ডজন কলা এনেছে।,0
কলা,কলা খেলে শক্তি পাওয়া যায়।,0
কলা,বাচ্চাটি কলা খেতে খুব পছন্দ করে।,0
কলা,সে চারুকলায় স্নাতক করেছে।,1
কলা,নাটক ও সংগীত হলো অভিনয়ের কলা।,1
কলা,কলা ও সংস্কৃতি বিষয়ে সেমিনার অনুষ্ঠিত হয়।,1
কলা,আধুনিক কলার বিভিন্ন শাখা আছে।,1
কলা,সে নাচের কলায় দক্ষ।,1
কাঁটা,গাছে অনেক কাঁটা আছে, সাবধানে থাকো।,0
কাঁটা,গোলাপ ফুলে ছোট ছোট কাঁটা থাকে।,0
কাঁটা,কাঁটা ফুটে গেলে অনেক ব্যথা হয়।,0
কাঁটা,বাগানে কাঁটা লাগার জন্য পা কেটে গেছে।,0
কাঁটা,ঝোপঝাড়ে অনেক কাঁটা থাকে।,0
কাঁটা,সে ফল কাঁটা শুরু করল।,1
কাঁটা,মা মাছ কাঁটা শেষ করেছে।,1
কাঁটা,সবজি কাঁটা হয়ে গেছে কি?,1
কাঁটা,ছুরি দিয়ে সে পেঁয়াজ কাঁটা করছিল।,1
কাঁটা,কাঁটা ছাড়াই টমেটো রান্না করা যায়।,1
কানা,সে একটি কানা চোখের মানুষ।,0
কানা,বেড়ালটি কানা চোখে দৃষ্টিহীন ছিল।,0
কানা,তারা কানা লোককে সাহায্য করেছিল।,0
কানা,আমার মামা কানা চোখের, তাই সে সবসময় সাবধান থাকে।,0
কানা,সেই বৃদ্ধ কানা চোখ নিয়ে দোকান চালায়।,0
কানা,সেই জমিটি কানা, অর্থাৎ ফসল না হয়েই পড়ে আছে।,1
কানা,এই জমিটি কানা, তাই এর কোনো উন্নতি হয়নি।,1
কানা,আমাদের বাড়ির পাশের মাঠটা কানা জমি হয়ে আছে।,1
কানা,বাড়ির পেছনের খেতটা কানা, তাই কেউ চাষ করে না।,1
কানা,এই অংশটা কানা, পুরোপুরি সম্পন্ন হয়নি।,1
কাপড়,সে নতুন কাপড় পরে স্কুলে গেল।,0
কাপড়,বাজার থেকে সুন্দর কাপড় কিনেছি জামার জন্য।,0
কাপড়,তোমার কাপড় আজ অনেক পরিষ্কার দেখাচ্ছে।,0
কাপড়,ঠান্ডায় ভালো রাখতে গরম কাপড় পরো।,0
কাপড়,কাপড় গুলো ওয়াশিং মেশিনে দিয়ে ধুয়ে ফেলো।,0
কাপড়,মাঝারি কাপড় নিয়ে আমি একটি গামছা তৈরি করেছি।,1
কাপড়,বিক্রেতা বিভিন্ন ধরনের কাপড় দেখাচ্ছে দোকানে।,1
কাপড়,শাড়ির কাপড়টি খুব ভালো মানের।,1
কাপড়,এই কাপড়ের রং কিছুটা ফিকে হয়ে গেছে।,1
কাপড়,নতুন কাপড়ের গুণগত মান পরীক্ষা করতে হবে।,1
কাল,আমি কাল তোমার বাড়িতে আসব।,0
কাল,কাল বৃষ্টি হয়েছে খুব ভারী।,0
কাল,কাল রাতে আমরা সিনেমা দেখেছিলাম।,0
কাল,কাল থেকে নতুন নিয়ম চালু হবে।,0
কাল,কাল সকালে তার পরীক্ষা আছে।,0
কাল,সবকিছু শেষ হয়ে গেছে, এখন কালের হাতেও কিছু নেই।,1
কাল,মানুষের জীবনে কাল অবধি সময় আছে।,1
কাল,কাল সকলের জন্য আসবেই।,1
কাল,কাল আসলে মৃত্যুকে বোঝায়।,1
কাল,সে কালের অভিশাপে পড়েছিল।,1
word,sentence,label
কুঁজো,সে কুঁজো হাতে বাগান থেকে ফুল তুলেছে।,0
কুঁজো,গাছের শাখাগুলো বয়সের সাথে কুঁজো হয়ে গেছে।,0
কুঁজো,কুঁজো আঙুলের কারণে কাজ করতে অসুবিধা হয়।,0
কুঁজো,কুঁজো লাঠি দিয়ে হাঁটার সময় সে সমর্থন পায়।,0
কুঁজো,বৃদ্ধের পা কুঁজো হওয়ায় সে ধীরে হাঁটে।,0
কুঁজো,সে কুঁজো পায়ে হাঁটতে পারে না ঠিকমতো।,1
কুঁজো,বাচ্চার হাত কুঁজো হওয়ায় খেলাধুলা করতে পারে না।,1
কুঁজো,কুঁজো গাছের বৃদ্ধি অপর্যাপ্ত ছিল।,1
কুঁজো,তার কুঁজো দেহ থেকে বোঝা যায় সে ছোট বয়সের।,1
কুঁজো,কুঁজো ছেলেটির হাঁটা দুর্বল এবং ধীর।,1
কুল,নদীর কুলে বসে বাতাস খাচ্ছি।,0
কুল,সমুদ্রের কুলে অনেক ঝিনুক পড়ে আছে।,0
কুল,নৌকাটি কুলে এসে ভিড়ল।,0
কুল,কুল ছেড়ে নৌকা মাঝনদীতে চলে গেল।,0
কুল,বর্ষার জলে নদীর দুই কুল প্লাবিত হয়েছে।,0
কুল,সে সম্ভ্রান্ত কুলের সন্তান।,1
কুল,তাদের কুলদেবতার পূজা করা হয়।,1
কুল,কুলগর্বে সে মাটিতে পা ফেলে না।,1
কুল,আমাদের কুল প্রথা মেনে চলতে হয়।,1
কুল,কুলের নাম উজ্জ্বল করতে সে বদ্ধপরিকর।,1
খারাপ,আজ আবহাওয়া খুব খারাপ।,0
খারাপ,ছেলেটা পরীক্ষায় খারাপ ফল করেছে।,0
খারাপ,খারাপ লোকের সঙ্গ ত্যাগ করা উচিত।,0
খারাপ,আমার শরীরটা আজ খারাপ লাগছে।,0
খারাপ,এটা একটা খুবই খারাপ খবর।,0
খারাপ,এই আপেলটা খারাপ হয়ে গেছে, খেয়ো না।,1
খারাপ,অনেকদিন ফ্রিজে রাখায় মাছটা খারাপ হয়ে গেছে।,1
খারাপ,গরমে দুধ তাড়াতাড়ি খারাপ হয়ে যায়।,1
খারাপ,পুরোনো ঘড়িটা খারাপ হয়ে পড়ে আছে।,1
খারাপ,তার মোবাইলটা জলে পড়ে খারাপ হয়ে গেল।,1
খোলা,দোকানটা সকাল নটায় খোলা হয়।,0
খোলা,শিক্ষক ছাত্রদের বইটা খোলাতে বললেন।,0
খোলা,গরম লাগায় সে ঘরের জানালা খোলা রাখল।,0
খোলা,শিশুটি অবাক হয়ে মুখ খোলা করে তাকিয়ে ছিল।,0
খোলা,সে চিঠিটা সাবধানে খোলা শুরু করলো।,0
খোলা,তার মনটা খুব খোলা, সে সহজে সবার সাথে মেশে।,1
খোলা,আমরা খোলা মাঠে বসে আড্ডা দিচ্ছিলাম।,1
খোলা,এই বিষয়ে একটা খোলা আলোচনার প্রয়োজন।,1
খোলা,সৎ পথে চললে উন্নতির অনেক পথ খোলা থাকে।,1
খোলা,আজ আকাশটা বেশ খোলা, বৃষ্টি হবে না মনে হয়।,1
গজ,দর্জি জামা বানানোর জন্য তিন গজ কাপড় নিলেন।,0
গজ,এই শাড়িটা লম্বায় ছয় গজ হবে।,0
গজ,এক গজ সমান তিন ফুট হয়।,0
গজ,আমার জানালার পর্দার জন্য পাঁচ গজ কাপড় লাগবে।,0
গজ,সে বাজার থেকে দশ গজ ফিতে কিনে আনল।,0
গজ,রাজা গজের পিঠে চড়ে শিকারে যেতেন।,1
গজ,বনে একটি বিশাল গজ আপন মনে ঘুরে বেড়াচ্ছিল।,1
গজ,গজদন্ত খুব মূল্যবান এবং সুন্দর হয়।,1
গজ,মন্দিরের দরজায় সুন্দর গজের মূর্তি খোদাই করা আছে।,1
গজ,গজের মতো ধীর কিন্তু শক্তিশালী পদক্ষেপে সে এগিয়ে গেল।,1
গভীর,নদীটি এখানে বেশ গভীর, সাঁতার কাটা কঠিন।,0
গভীর,কূপটি এত গভীর যে নীচে কিছুই দেখা যায় না।,0
গভীর,গভীর জঙ্গলের ভেতরে সূর্যের আলো পৌঁছায় না।,0
গভীর,তার পায়ে একটা গভীর কাঁটা ফুটেছে।,0
গভীর,ভূমিকম্পের ফলে রাস্তায় গভীর ফাটল দেখা দিয়েছে।,0
গভীর,সে গভীর চিন্তায় মগ্ন হয়ে আছে।,1
গভীর,শিশুটি গভীর ঘুমে আচ্ছন্ন।,1
গভীর,তাদের মধ্যে গভীর বন্ধুত্ব রয়েছে।,1
গভীর,এই বিষয়ে তার গভীর জ্ঞান প্রশংসনীয়।,1
গভীর,গভীর রাতে চারপাশ নিস্তব্ধ হয়ে যায়।,1
গলা,ঠান্ডা লেগে আমার গলা ব্যথা করছে।,0
গলা,তার গলার স্বর খুব মিষ্টি।,0
গলা,সে গলা উঁচিয়ে গান গাইছিল।,0
গলা,মাছ খেতে গিয়ে গলায় কাঁটা ফুটেছে।,0
গলা,কথা বলতে বলতে তার গলা শুকিয়ে গেল।,0
গলা,গরমে বরফ গলে জল হয়ে যায়।,1
গলা,মোমবাতিটা প্রায় পুরোটা গলে গেছে।,1
গলা,আগুনের তাপে লোহা গলে যায়।,1
গলা,চিনি সহজেই গরম জলে গলে যায়।,1
গলা,তার করুন কাহিনী শুনে আমার মনটা গলে গেল।,1
গাল,শিশুটি নরম তুলতুলে গালে আদর খাচ্ছে।,0
গাল,লজ্জায় মেয়েটির গাল লাল হয়ে গেল।,0
গাল,ঠাকুমা নাতির গালে চুমু খেলেন।,0
গাল,তার বাম গালে একটা তিল আছে।,0
গাল,শীতে অনেকের গাল ফেটে যায়।,0
গাল,অকারণে কাউকে গাল দেওয়া উচিত নয়।,1
গাল,ছোট ভাইটা বড় ভাইয়ের কাছে অনেক গাল খেয়েছে।,1
গাল,শিক্ষক দুষ্টু ছেলেটিকে খুব গাল দিলেন।,1
গাল,তার মুখে শুধু খারাপ গাল বের হয়।,1
গাল,প্রতিবেশীর সাথে ঝগড়া করে সে একগাদা গাল শুনেছে।,1
গুণ,তার মধ্যে অনেক ভালো গুণ আছে।,0
গুণ,এই কাপড়ের গুণ খুব ভালো, সহজে ছিঁড়বে না।,0
গুণ,সততা একটি মহৎ মানবিক গুণ।,0
গুণ,জিনিস কেনার আগে তার গুণাগুণ যাচাই করা উচিত।,0
গুণ,দোষেগুণে মিলেই মানুষ তৈরি হয়।,0
গুণ,শিক্ষক ছাত্রদের গুণের নামতা শেখাচ্ছেন।,1
গুণ,দুইয়ের সাথে তিন গুণ করলে ছয় হয়।,1
গুণ,তার আনন্দ আজ শতগুণ বৃদ্ধি পেয়েছে।,1
গুণ,পুরস্কারের অর্থ আগেরবারের চেয়ে দশগুণ বেশি।,1
গুণ,এই যন্ত্রটি সাধারণের চেয়ে পাঁচগুণ দ্রুত কাজ করে।,1
গুল,বাগানে অনেক রঙিন গুল ফুটেছে।,0
গুল,সে তার প্রিয়জনকে একটি লাল গুল উপহার দিল।,0
গুল,গুলের পাপড়িগুলো খুব নরম আর সুগন্ধী।,0
গুল,কবিরা প্রায়শই তাঁদের কবিতায় গুলের বন্দনা করেন।,0
গুল,বসন্তকালে গুলের সমারোহ দেখতে পাওয়া যায়।,0
গুল,শহরে একটা নতুন গুল ছড়িয়েছে যে স্কুল বন্ধ থাকবে।,1
গুল,তার সব কথাই গুল, একটাও সত্যি নয়।,1
গুল,সে এমন গুল মারে যে লোকে সহজেই বিশ্বাস করে ফেলে।,1
গুল,এই খবরটা একটা ডাহা গুল, এর কোনো ভিত্তি নেই।,1
গুল,লোকমুখে নানা রকম গুল শোনা যায়, সব বিশ্বাস করতে নেই।,1
গুলি,পুলিশ শূন্যে দুই রাউন্ড গুলি ছুঁড়লো।,0
গুলি,বন্দুকের গুলিতে শিকারি হরিণ মারল।,0
গুলি,যুদ্ধের সময় অনেক গুলি বিনিময় হয়।,0
গুলি,তার শরীরে গুলির আঘাত লেগেছে।,0
গুলি,এক গুলিতে দুই পাখি মারা ঠিক নয়।,0
গুলি,ছেলেরা মাঠে গুলি খেলছে।,1
গুলি,আমার ছোটবেলায় অনেক কাঁচের গুলি ছিল।,1
গুলি,সে গুলি খেলায় খুব পটু।,1
গুলি,পকেট ভর্তি গুলি নিয়ে সে ঘুরতো।,1
গুলি,গুলি দিয়ে निशाना করা কঠিন।,1
গোলা,কামানের গোলা শত্রুর দুর্গে গিয়ে পড়ল।,0
গোলা,ঠাকুমা উলের গোলা থেকে সোয়েটার বুনছেন।,0
গোলা,লৌহ কঠিন গোলা ছুঁড়ে সৈন্যরা অনুশীলন করছিল।,0
গোলা,গোলক নিক্ষেপ খেলায় ভারী গোলা ছুঁড়তে হয়।,0
গোলা,রসগোল্লা মানে মিষ্টি রসের গোলা।,0
গোলা,এক গ্লাস জলে একটু চিনি গোলাও।,1
গোলা,ছবি আঁকার আগে সে মন দিয়ে রং গোলাচ্ছিল।,1
গোলা,দেয়ালে লাগানোর জন্য সিমেন্টের সাথে জল গোলা প্রয়োজন।,1
গোলা,ওষুধটা খাওয়ার আগে ভালো করে জলে গোলাতে হবে।,1
গোলা,পিঠা বানানোর জন্য চালের গুঁড়ো গোলা হচ্ছে।,1
ঘন,এই বনটি খুব ঘন, ভেতরে সূর্যের আলো ঢোকে না।,0
ঘন,সকালে চারদিকে ঘন কুয়াশা ছিল।,0
ঘন,তার মাথার চুল বেশ ঘন এবং কালো।,0
ঘন,দুধটা জ্বাল দিয়ে বেশ ঘন করা হয়েছে।,0
ঘন,ঘন অন্ধকারে কিছুই দেখা যাচ্ছিল না।,0
ঘন,সে আজকাল ঘন ঘন আমাদের বাড়ি আসে।,1
ঘন,ফোনটা সকাল থেকে ঘন ঘন বাজছে।,1
ঘন,আজ সারাদিন ঘন ঘন বৃষ্টি হচ্ছে।,1
ঘন,ঠান্ডা লেগে সে ঘন ঘন কাশছে।,1
ঘন,পরীক্ষার আগে আমাদের ঘন ঘন পড়া উচিত।,1
ঘর,আমার শোবার ঘর কোনটা?,0
ঘর,এই বাড়িতে মোট পাঁচটি ঘর আছে।,0
ঘর,সে নিজের ঘরে বসে বই পড়ছে।,0
ঘর,সন্ধ্যার আগে ঘর পরিষ্কার করতে হবে।,0
ঘর,অতিথিদের জন্য আলাদা ঘর রাখা হয়েছে।,0
ঘর,ভালো বংশের ছেলে, ঘর ভালো।,1
ঘর,এই বিয়েতে ছেলের ঘর পছন্দ হয়েছে।,1
ঘর,বিপদের দিনে ঘর ছেড়ে কেউ যায়নি।,1
ঘর,সে অনেক কষ্টে ঘর সংসার চালাচ্ছে।,1
ঘর,তাদের তিন পুরুষের ঘর এখানেই। ,1
